"","zpid","time","price","week","dow","month","year","latitude","longitude","city","state","zipcode","neighborhood","region","locality","ad3","area","yearBuilt","lot","beds","bathFull","bathHalf","roomCount","floorSize","unitCount","stories","lastRemodelYear","solarPotential","zestimate","zestimateHighPercent","zestimateLowPercent","rentZestimate","taxEstimate","n_round"
"15",11252639,2020-07-30,329600,31,"Thursday",7,20,40.390975,-80.067424,"Pittsburgh","PA",15243,"Mount Lebanon","","","","Mount Lebanon",61,13.9777314430512,3,3,0,7,7.4079243225596,0,1,1959,86.82,388800,8,7,2504,561800,69
"18",11252786,2020-11-16,787000,47,"Monday",11,20,40.387805,-80.072098,"Pittsburgh","PA",15243,"Mount Lebanon","","","","Mount Lebanon",62,14.7249458448814,4,4,0,11,8.05896001776942,0,2,1958,90.02,884800,6,6,3830,722659,69
"19",11252802,2020-06-24,504715,26,"Wednesday",6,20,40.388525,-80.068769,"Pittsburgh","PA",15243,"Mount Lebanon","","","","Mount Lebanon",72,14.6137202097712,3,3,0,11,7.69575799055476,0,1,1948,92.42,600200,8,7,3894,626265,69
"20",11253008,2020-06-22,755000,26,"Monday",6,20,40.386178,-80.070577,"Pittsburgh","PA",15243,"Mount Lebanon","","","","Mount Lebanon",43,13.9777314430512,5,5,0,10,8.36590507720246,0,2,1977,87.62,901300,8,7,5751,1102648,69
"21",11253033,2020-10-01,800000,40,"Thursday",10,20,40.38503,-80.068198,"Pittsburgh","PA",15243,"Mount Lebanon","","","","Mount Lebanon",67,14.4195641953303,3,3,0,8,7.95226330865705,0,2,1953,88.42,918100,7,6,3160,629218,69
"510",11289376,2020-04-15,592000,16,"Wednesday",4,20,40.436499,-79.914263,"Pittsburgh","PA",15217,"Squirrel Hill South","","","","Squirrel Hill South",90,8.28399930424853,6,2,0,9,7.9976631270201,0,2,1930,92.41,717000,8,8,3681,505486,69
"511",11289378,2020-02-12,457500,7,"Wednesday",2,20,40.436523,-79.914545,"Pittsburgh","PA",15217,"Squirrel Hill South","","","","Squirrel Hill South",102,8.50289140670538,4,2,0,8,7.65633716643018,0,2,1918,83.61,560400,9,8,2834,502431,69
"512",11289381,2020-06-15,360000,25,"Monday",6,20,40.43655,-79.915114,"Pittsburgh","PA",15217,"Squirrel Hill South","","","","Squirrel Hill South",110,8.62497078358967,7,3,0,11,7.94590959861313,0,25,1910,86.81,430400,8,7,3719,533465,69
"513",11289394,2020-08-05,738000,32,"Wednesday",8,20,40.436116,-79.915383,"Pittsburgh","PA",15217,"Squirrel Hill South","","","","Squirrel Hill South",87,8.47637119689598,4,3,0,9,7.37148929521428,0,2,1933,72.41,866100,7,7,2923,468306,69
"514",11289410,2020-01-03,151000,1,"Friday",1,20,40.435817,-79.915717,"Pittsburgh","PA",15217,"Squirrel Hill South","","","","Squirrel Hill South",88,8.29404964010203,3,2,0,6,7.21817683840341,0,2,1932,92.41,575000,15,13,1800,410187,69
